#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
        mt19937|Hash_Char_Output_100MB_Sample.bin|  5.84e+07  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
      rgb_lagged_sum|  20|   1000000|     100|0.27100941|  PASSED  
      rgb_lagged_sum|  21|   1000000|     100|0.26118260|  PASSED  
      rgb_lagged_sum|  22|   1000000|     100|0.30873616|  PASSED  
      rgb_lagged_sum|  23|   1000000|     100|0.32070800|  PASSED  
      rgb_lagged_sum|  24|   1000000|     100|0.07969694|  PASSED  
      rgb_lagged_sum|  25|   1000000|     100|0.75138738|  PASSED  
      rgb_lagged_sum|  26|   1000000|     100|0.17429849|  PASSED  
      rgb_lagged_sum|  27|   1000000|     100|0.00500111|  PASSED  
      rgb_lagged_sum|  28|   1000000|     100|0.26852801|  PASSED  
      rgb_lagged_sum|  29|   1000000|     100|0.89604320|  PASSED  
      rgb_lagged_sum|  30|   1000000|     100|0.55224272|  PASSED  
      rgb_lagged_sum|  31|   1000000|     100|0.88579829|  PASSED  
      rgb_lagged_sum|  32|   1000000|     100|0.53909494|  PASSED  
     rgb_kstest_test|   0|     10000|    1000|0.91852246|  PASSED  
     dab_bytedistrib|   0|  51200000|       1|0.67248183|  PASSED  
             dab_dct| 256|     50000|       1|0.04052858|  PASSED  
Preparing to run test 207.  ntuple = 0
        dab_filltree|  32|  15000000|       1|0.15656676|  PASSED  
        dab_filltree|  32|  15000000|       1|0.00841952|  PASSED  
Preparing to run test 208.  ntuple = 0
       dab_filltree2|   0|   5000000|       1|0.41039580|  PASSED  
       dab_filltree2|   1|   5000000|       1|0.78924770|  PASSED  
Preparing to run test 209.  ntuple = 0
        dab_monobit2|  12|  65000000|       1|0.07938989|  PASSED 
